node_id,name,frequency,in_degree,out_degree
159,ENSG00000124134,0.942308,19,0
160,ENSG00000259674,0.865385,0,9
161,ENSG00000267254,0.942308,4,0
162,ENSG00000274964,0.923077,4,3
163,ENSG00000134769,0.884615,13,11
164,ENSG00000167751,0.903846,6,14
165,ENSG00000108511,0.903846,8,15
166,ENSG00000097021,0.884615,15,18
167,ENSG00000170954,0.923077,5,2
168,ENSG00000196104,0.923077,11,3
169,ENSG00000072110,0.884615,6,6
170,ENSG00000160190,0.884615,12,5
171,ENSG00000154945,0.903846,5,11
172,ENSG00000134627,0.884615,9,16
173,ENSG00000100558,0.923077,7,7
174,ENSG00000257335,0.865385,12,7
175,ENSG00000064270,0.865385,6,8
176,ENSG00000137869,0.865385,2,3
177,ENSG00000226833,0.865385,7,5
178,ENSG00000159176,0.923077,6,1
179,ENSG00000160180,0.846154,2,23
180,ENSG00000185052,0.923077,9,4
181,ENSG00000229637,0.942308,2,0
182,ENSG00000173638,0.942308,13,0
183,ENSG00000112297,0.903846,4,9
184,ENSG00000148344,0.884615,9,8
185,ENSG00000148773,0.923077,9,7
186,ENSG00000173110,0.942308,15,0
187,ENSG00000103855,0.942308,3,0
188,ENSG00000223382,0.807692,3,13
189,ENSG00000120675,0.884615,6,30
190,ENSG00000225064,0.942308,11,0
191,ENSG00000276180,0.846154,6,11
192,ENSG00000108091,0.903846,5,9
193,ENSG00000198898,0.903846,13,17
194,ENSG00000108384,0.788462,1,67
195,ENSG00000151883,0.923077,18,10
196,ENSG00000186832,0.826923,7,16
197,ENSG00000112276,0.923077,4,4
198,ENSG00000153132,0.826923,6,28
199,ENSG00000095380,0.923077,9,5
200,ENSG00000166803,0.846154,1,20
201,ENSG00000237732,0.923077,1,4
202,ENSG00000251628,0.923077,10,4
203,ENSG00000227131,0.942308,38,2
204,ENSG00000116874,0.769231,0,84
205,ENSG00000155858,0.942308,5,0
206,ENSG00000129514,0.923077,8,4
207,ENSG00000171889,0.942308,15,1
208,ENSG00000152455,0.942308,17,0
209,ENSG00000169550,0.826923,6,18
210,ENSG00000169851,0.903846,5,11
211,ENSG00000168539,0.865385,12,6
212,ENSG00000093167,0.903846,9,13
213,ENSG00000101333,0.865385,7,8
214,ENSG00000198574,0.942308,22,0
215,ENSG00000125618,0.884615,11,9
216,ENSG00000120910,0.846154,8,19
217,ENSG00000167034,0.826923,8,22
218,ENSG00000127249,0.884615,12,14
219,ENSG00000255960,0.826923,5,27
220,ENSG00000187867,0.923077,10,0
221,ENSG00000268205,0.923077,12,6
222,ENSG00000157693,0.826923,4,65
223,ENSG00000121067,0.923077,2,4
224,ENSG00000258711,0.923077,16,1
225,ENSG00000106049,0.923077,13,6
226,ENSG00000068366,0.903846,3,1
227,ENSG00000174370,0.807692,5,48
228,ENSG00000130529,0.884615,7,4
229,ENSG00000006453,0.903846,3,6
230,ENSG00000086730,0.942308,1,0
231,ENSG00000172315,0.865385,6,22
232,ENSG00000224045,0.884615,5,8
233,ENSG00000086205,0.865385,0,38
234,ENSG00000147394,0.807692,4,12
235,ENSG00000106261,0.923077,3,3
236,ENSG00000231312,0.942308,26,0
237,ENSG00000234476,0.942308,12,1
238,ENSG00000090621,0.942308,10,0
239,ENSG00000169116,0.923077,2,4
240,ENSG00000234952,0.903846,8,2
241,ENSG00000166333,0.942308,23,0
242,ENSG00000197256,0.923077,15,4
243,ENSG00000205716,0.942308,9,0
244,ENSG00000175063,0.903846,4,5
245,ENSG00000126950,0.923077,9,3
246,ENSG00000255119,0.903846,9,10
247,ENSG00000136161,0.923077,4,4
248,ENSG00000128274,0.942308,11,0
249,ENSG00000205336,0.826923,9,42
250,ENSG00000163686,0.903846,6,9
251,ENSG00000154319,0.923077,1,2
252,ENSG00000117533,0.846154,7,15
253,ENSG00000100243,0.846154,14,14
254,ENSG00000181552,0.923077,10,7
255,ENSG00000105926,0.846154,7,16
256,ENSG00000184730,0.807692,1,48
257,ENSG00000108669,0.846154,14,27
258,ENSG00000253304,0.903846,10,6
259,ENSG00000269707,0.846154,6,12
260,ENSG00000249743,0.942308,20,0
261,ENSG00000164751,0.865385,9,18
262,ENSG00000118496,0.903846,6,7
263,ENSG00000075891,0.884615,1,4
264,ENSG00000172159,0.884615,13,7
265,ENSG00000169327,0.942308,14,0
266,ENSG00000238276,0.942308,7,1
267,ENSG00000141401,0.730769,1,58
268,ENSG00000213625,0.846154,6,11
269,ENSG00000124812,0.903846,3,8
270,ENSG00000065534,0.942308,8,0
271,ENSG00000267420,0.884615,9,10
272,ENSG00000131089,0.923077,14,2
273,ENSG00000162616,0.923077,12,5
274,ENSG00000137074,0.942308,17,1
275,ENSG00000171124,0.923077,1,0
276,ENSG00000267475,0.826923,8,46
277,ENSG00000272763,0.807692,3,35
278,ENSG00000080709,0.923077,5,3
279,ENSG00000272551,0.923077,11,8
280,ENSG00000172818,0.942308,7,0
281,ENSG00000107341,0.865385,5,7
282,ENSG00000107104,0.884615,13,18
283,ENSG00000123570,0.884615,9,2
284,ENSG00000197588,0.846154,4,13
285,ENSG00000014257,0.788462,4,15
286,ENSG00000167987,0.846154,6,14
287,ENSG00000253661,0.884615,28,16
288,ENSG00000233028,0.75,3,36
289,ENSG00000280032,0.942308,1,0
290,ENSG00000142655,0.903846,15,12
291,ENSG00000242207,0.903846,6,8
292,ENSG00000100139,0.923077,9,2
293,ENSG00000134216,0.923077,10,4
294,ENSG00000041353,0.884615,13,7
295,ENSG00000255427,0.865385,2,3
296,ENSG00000167711,0.942308,13,0
297,ENSG00000156113,0.923077,13,6
298,ENSG00000121316,0.942308,6,0
299,ENSG00000148484,0.923077,11,5
300,ENSG00000135253,0.903846,1,2
301,ENSG00000100234,0.903846,8,2
302,ENSG00000102172,0.884615,17,19
303,ENSG00000073060,0.942308,25,2
304,ENSG00000123739,0.942308,29,0
305,ENSG00000147223,0.884615,10,5
306,ENSG00000186111,0.807692,4,5
307,ENSG00000165424,0.826923,1,28
308,ENSG00000058056,0.788462,4,48
309,ENSG00000229743,0.923077,14,6
310,ENSG00000168389,0.903846,3,8
311,ENSG00000153822,0.903846,7,5
312,ENSG00000178750,0.846154,3,7
313,ENSG00000170088,0.884615,11,7
314,ENSG00000137709,0.884615,14,6
315,ENSG00000232258,0.923077,5,1
316,ENSG00000205937,0.942308,16,0
317,ENSG00000018408,0.903846,7,9
318,ENSG00000231585,0.942308,34,0
319,ENSG00000101446,0.903846,5,5
320,ENSG00000095713,0.923077,9,5
321,ENSG00000157570,0.865385,25,3
322,ENSG00000176658,0.865385,9,11
323,ENSG00000163171,0.942308,6,0
324,ENSG00000213938,0.807692,2,13
325,ENSG00000226355,0.865385,2,7
326,ENSG00000221926,0.942308,13,1
327,ENSG00000189134,0.942308,15,0
328,ENSG00000126524,0.942308,5,0
329,ENSG00000171729,0.942308,15,0
330,ENSG00000115363,0.942308,18,0
331,ENSG00000229619,0.75,1,57
332,ENSG00000171490,0.884615,10,10
333,ENSG00000004799,0.884615,11,21
334,ENSG00000224984,0.923077,8,4
335,ENSG00000249242,0.942308,16,0
336,ENSG00000227145,0.826923,4,19
337,ENSG00000010270,0.884615,5,11
338,ENSG00000072195,0.942308,9,1
339,ENSG00000167281,0.923077,12,3
340,ENSG00000115604,0.846154,11,12
341,ENSG00000187391,0.942308,15,0
342,ENSG00000278709,0.826923,7,21
343,ENSG00000228835,0.903846,10,6
344,ENSG00000166780,0.903846,7,6
345,ENSG00000237649,0.942308,15,0
346,ENSG00000139174,0.903846,20,1
347,ENSG00000109084,0.865385,5,13
348,ENSG00000155380,0.903846,11,2
349,ENSG00000008196,0.942308,11,0
350,ENSG00000183955,0.942308,18,0
351,ENSG00000213846,0.807692,4,29
352,ENSG00000155438,0.865385,19,5
353,ENSG00000185442,0.865385,1,11
354,ENSG00000182253,0.807692,2,16
355,ENSG00000204954,0.903846,12,11
356,ENSG00000137857,0.807692,6,11
357,ENSG00000134198,0.903846,9,4
358,ENSG00000159763,0.942308,34,1
359,ENSG00000166501,0.846154,19,6
360,ENSG00000134755,0.903846,15,12
361,ENSG00000135549,0.923077,8,7
362,ENSG00000172260,0.942308,20,0
363,ENSG00000237276,0.884615,13,4
364,ENSG00000150764,0.903846,31,1
365,ENSG00000162746,0.923077,13,2
366,ENSG00000155970,0.884615,0,7
367,ENSG00000168004,0.942308,8,0
368,ENSG00000080608,0.903846,14,15
369,ENSG00000259985,0.923077,3,7
370,ENSG00000229847,0.923077,6,1
371,ENSG00000173898,0.692308,0,45
372,ENSG00000065833,0.942308,13,0
373,ENSG00000184678,0.942308,24,0
374,ENSG00000214510,0.923077,2,1
375,ENSG00000162139,0.884615,3,14
376,ENSG00000152270,0.846154,5,5
377,ENSG00000105971,0.942308,3,0
378,ENSG00000259353,0.75,1,30
379,ENSG00000110171,0.942308,8,1
380,ENSG00000109790,0.903846,4,8
381,ENSG00000127948,0.923077,7,5
382,ENSG00000107249,0.788462,4,21
383,ENSG00000116194,0.923077,8,1
384,ENSG00000173253,0.923077,11,3
385,ENSG00000148411,0.942308,11,0
386,ENSG00000101670,0.865385,8,10
387,ENSG00000128266,0.903846,6,12
388,ENSG00000109220,0.923077,7,4
389,ENSG00000136546,0.923077,23,2
390,ENSG00000274269,0.923077,4,2
391,ENSG00000129116,0.923077,0,0
392,ENSG00000179912,0.903846,7,3
393,ENSG00000165804,0.846154,15,7
394,ENSG00000170689,0.884615,0,8
395,ENSG00000165801,0.884615,9,10
396,ENSG00000258436,0.923077,9,1
397,ENSG00000171053,0.942308,7,0
398,ENSG00000103034,0.923077,12,3
399,ENSG00000101977,0.923077,11,2
400,ENSG00000114021,0.942308,6,0
401,ENSG00000136379,0.903846,10,4
402,ENSG00000268297,0.923077,17,6
403,ENSG00000109667,0.865385,4,11
404,ENSG00000064999,0.942308,32,1
405,ENSG00000056736,0.942308,28,1
406,ENSG00000104267,0.942308,14,0
407,ENSG00000126878,0.865385,6,16
408,ENSG00000130653,0.865385,0,6
409,ENSG00000122786,0.923077,13,3
410,ENSG00000137274,0.923077,4,2
411,ENSG00000272971,0.865385,5,11
412,ENSG00000128040,0.923077,8,4
413,ENSG00000170915,0.807692,5,25
414,ENSG00000103710,0.884615,10,16
415,ENSG00000076604,0.903846,5,4
416,ENSG00000162368,0.826923,9,50
417,ENSG00000177879,0.826923,7,23
418,ENSG00000159398,0.903846,1,3
419,ENSG00000121075,0.923077,3,2
420,ENSG00000104537,0.865385,9,8
421,ENSG00000024422,0.942308,10,0
422,ENSG00000182508,0.826923,5,45
423,ENSG00000277268,0.884615,2,1
424,ENSG00000258551,0.884615,12,5
425,ENSG00000280362,0.923077,9,4
426,ENSG00000271601,0.942308,9,0
427,ENSG00000057663,0.942308,18,0
428,ENSG00000178826,0.865385,1,29
429,ENSG00000249661,0.884615,7,3
430,ENSG00000186073,0.865385,5,13
431,ENSG00000173918,0.884615,13,9
432,ENSG00000184956,0.923077,18,4
433,ENSG00000263724,0.865385,6,11
434,ENSG00000124157,0.942308,18,0
435,ENSG00000134042,0.903846,11,7
436,ENSG00000165996,0.865385,17,6
437,ENSG00000188373,0.846154,12,3
438,ENSG00000211695,0.807692,5,13
439,ENSG00000164764,0.942308,3,0
440,ENSG00000120437,0.826923,8,11
441,ENSG00000173376,0.942308,4,0
442,ENSG00000065618,0.903846,2,2
443,ENSG00000143401,0.884615,7,7
444,ENSG00000260317,0.923077,0,1
445,ENSG00000164976,0.884615,4,7
446,ENSG00000166278,0.75,1,34
447,ENSG00000257727,0.884615,4,8
448,ENSG00000146072,0.903846,32,3
449,ENSG00000197705,0.942308,15,0
450,ENSG00000259937,0.846154,12,2
451,ENSG00000133424,0.923077,13,4
452,ENSG00000225431,0.942308,15,0
453,ENSG00000251317,0.846154,4,13
454,ENSG00000277893,0.846154,13,19
455,ENSG00000111344,0.923077,4,2
456,ENSG00000120885,0.903846,14,6
457,ENSG00000182795,0.846154,8,14
458,ENSG00000123096,0.807692,2,28
459,ENSG00000232320,0.903846,4,4
460,ENSG00000267128,0.903846,25,4
461,ENSG00000250884,0.923077,15,2
462,ENSG00000126778,0.884615,5,8
463,ENSG00000271209,0.826923,10,35
464,ENSG00000106809,0.903846,11,2
465,ENSG00000121691,0.826923,2,12
466,ENSG00000205089,0.807692,2,24
467,ENSG00000148908,0.942308,4,0
468,ENSG00000262601,0.865385,9,11
469,ENSG00000180872,0.826923,5,28
470,ENSG00000259793,0.884615,18,18
471,ENSG00000170571,0.865385,9,8
472,ENSG00000082146,0.903846,2,5
473,ENSG00000168924,0.903846,6,11
474,ENSG00000068745,0.865385,2,9
475,ENSG00000252902,0.903846,7,1
476,ENSG00000168546,0.942308,54,0
477,ENSG00000184381,0.942308,12,1
478,ENSG00000122912,0.942308,23,1
479,ENSG00000171612,0.884615,21,4
480,ENSG00000131264,0.942308,18,0
481,ENSG00000185904,0.903846,12,12
482,ENSG00000163431,0.923077,12,5
483,ENSG00000187583,0.942308,4,0
484,ENSG00000134775,0.903846,16,1
485,ENSG00000220517,0.846154,5,22
486,ENSG00000256884,0.903846,11,9
487,ENSG00000140254,0.75,2,13
488,ENSG00000100167,0.923077,3,2
489,ENSG00000158715,0.865385,7,5
490,ENSG00000176371,0.923077,11,2
491,ENSG00000173930,0.923077,8,0
