node_id,name,frequency,in_degree,out_degree
159,ENSG00000039139,0.428858,47,1
160,ENSG00000039560,0.194389,16,23
161,ENSG00000039650,0.176353,13,58
162,ENSG00000040341,0.176353,8,5
163,ENSG00000040487,0.226453,32,15
164,ENSG00000041802,0.142285,2,17
165,ENSG00000041880,0.330661,24,4
166,ENSG00000041982,0.12024,0,98
167,ENSG00000042088,0.166333,3,10
168,ENSG00000042286,0.216433,0,24
169,ENSG00000042753,0.332665,68,1
170,ENSG00000043355,0.112224,0,20
171,ENSG00000044090,0.152305,0,26
172,ENSG00000044446,0.124248,0,17
173,ENSG00000046653,0.236473,18,14
174,ENSG00000047346,0.108216,1,58
175,ENSG00000047579,0.122244,5,66
176,ENSG00000047932,0.198397,47,8
177,ENSG00000048140,0.192385,4,9
178,ENSG00000048162,0.172345,6,24
179,ENSG00000048392,0.12024,9,67
180,ENSG00000048405,0.124248,24,31
181,ENSG00000048649,0.116232,29,72
182,ENSG00000048740,0.212425,25,22
183,ENSG00000048828,0.218437,28,6
184,ENSG00000049130,0.422846,71,0
185,ENSG00000049246,0.152305,3,38
186,ENSG00000049656,0.136273,1,46
187,ENSG00000049860,0.104208,0,2
188,ENSG00000050165,0.208417,21,18
189,ENSG00000050344,0.128257,0,5
190,ENSG00000050426,0.134269,0,10
191,ENSG00000050748,0.224449,3,3
192,ENSG00000050767,0.258517,25,14
193,ENSG00000051128,0.172345,18,14
194,ENSG00000051523,0.114228,0,51
195,ENSG00000051620,0.150301,0,58
196,ENSG00000051825,0.114228,0,33
197,ENSG00000052126,0.214429,35,3
198,ENSG00000052344,0.164329,3,17
199,ENSG00000052749,0.312625,18,1
200,ENSG00000052795,0.178357,9,6
201,ENSG00000053254,0.222445,37,20
202,ENSG00000053372,0.188377,24,15
203,ENSG00000053747,0.266533,38,7
204,ENSG00000053770,0.204409,48,5
205,ENSG00000054118,0.106212,0,28
206,ENSG00000054392,0.270541,33,2
207,ENSG00000054598,0.140281,6,26
208,ENSG00000054690,0.248497,16,6
209,ENSG00000055211,0.282565,42,1
210,ENSG00000056097,0.152305,38,11
211,ENSG00000056487,0.220441,1,4
212,ENSG00000056586,0.114228,5,24
213,ENSG00000057019,0.344689,109,6
214,ENSG00000057252,0.11022,0,14
215,ENSG00000057294,0.11022,3,80
216,ENSG00000058063,0.194389,33,4
217,ENSG00000058085,0.272545,2,0
218,ENSG00000058262,0.172345,1,7
219,ENSG00000058272,0.178357,46,27
220,ENSG00000058600,0.466934,62,0
221,ENSG00000058668,0.390782,129,5
222,ENSG00000058804,0.240481,17,2
223,ENSG00000059145,0.198397,4,9
224,ENSG00000059378,0.368737,14,0
225,ENSG00000059573,0.172345,0,25
226,ENSG00000059588,0.388778,68,1
227,ENSG00000059758,0.144289,1,10
228,ENSG00000060491,0.212425,21,10
229,ENSG00000060749,0.240481,21,12
230,ENSG00000060762,0.226453,0,0
231,ENSG00000061676,0.140281,35,38
232,ENSG00000061938,0.180361,2,24
233,ENSG00000062582,0.154309,10,27
234,ENSG00000062598,0.144289,0,26
235,ENSG00000063046,0.184369,5,2
236,ENSG00000063169,0.132265,0,38
237,ENSG00000063176,0.152305,0,25
238,ENSG00000063177,0.220441,74,7
239,ENSG00000063180,0.146293,5,35
240,ENSG00000063241,0.206413,35,11
241,ENSG00000063244,0.408818,76,0
242,ENSG00000063245,0.252505,48,4
243,ENSG00000063322,0.108216,0,11
244,ENSG00000063761,0.220441,3,4
